Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug Reaction,وقف التهيج,استشارة أقرب مستشفى,التوقف عن تناول الدواء,متابعة مع الطبيب
Malaria,استشارة أقرب مستشفى,تجنب تناول الطعام الدهني,تجنب تناول الطعام غير النباتي,الحفاظ على بعد البعوض
Allergy,ضع الكالامين,غطاء المنطقة بضمادة,,استخدام الثلج للتخفيف من الحكة
Hypothyroidism,تقليل التوتر او الضغط,ممارسة الرياضة,تناول طعام صحي,الحصول على نوم جيد
Psoriasis,اغسل يديك بالماء الدافئ والصابون,التوقف عن النزيف باستخدام الضغط,استشارة الطبيب,حمامات ملحية
GERD,تجنب تناول الطعام الدهني والحار,تجنب الاستلقاء بعد تناول الطعام,الحفاظ على وزن صحي,ممارسة الرياضة
Chronic cholestasis,الاستحمام بالماء البارد,مضاد للاحتكاك,استشارة الطبيب,تناول طعام صحي
hepatitis A,استشارة أقرب مستشفى,غسل اليدين جيدًا, تجنب الطعام الدهني والحار, الدواء
Osteoarthristis,أسيتامينوفين,استشارة أقرب مستشفى,متابعة مع الطبيب,حمامات ملحية
(vertigo) Paroymsal  Positional Vertigo,استلقِ, تجنب التغيير المفاجئ في الجسم, تجنب حركة الرأس الفجائية,الاسترخاء
Hypoglycemia,استلقِ على الجانب,التحقق من نبض,شرب مشروبات غنية بالسكر,استشارة الطبيب
Acne,استحم مرتين,تجنب الطعام الدهني والحار, شرب الكثير من الماء,تجنب الكثير من المنتجات
Diabetes ,تناول نظام غذائي متوازن,ممارسة الرياضة,استشارة الطبيب,متابعة مع الطبيب
Impetigo,اغمس المنطقة المتأثرة في ماء دافئ,استخدام مضادات الحيوية,إزالة القشور بواسطة قماش رطب مضغوط,استشارة الطبيب
Hypertension ,التأمل الذهني,حمامات ملحية,تقليل التوتر,الحصول على نوم جيد
Peptic ulcer diseae,تجنب الطعام الدهني والحار,تناول الطعام الصحي, تناول اللبن المحمض, الحد من تناول الكحول
Dimorphic hemmorhoids(piles),تجنب الطعام الدهني والحار,استهلاك ورقة اللبن,حمام دافئ مع ملح الإبسوم, استهلاك عصير الألوفيرا
Common Cold,شرب مشروبات غنية بفيتامين C, استنشاق,تجنب الطعام البارد, الحفاظ على الحمى تحت السيطرة
Chicken pox,استخدام نيم في الاستحمام, استهلاك أوراق النيم,أخذ التطعيم,تجنب الأماكن العامة
Cervical spondylosis,استخدام وسادة تسخين أو حزمة باردة, ممارسة الرياضة, تناول مسكن الألم البدون وصفة طبية, استشارة الطبيب
Hyperthyroidism,تناول طعام صحي,التدليك,استخدام ليمون بالم, خضوع لعلاج اليود الإشعاعي
Urinary tract infection,شرب الكثير من الماء,زيادة تناول فيتامين C,شرب عصير التوت البري,تناول البروبيوتيك
Varicose veins,الاستلقاء على مستوى ورفع الساق عالياً,استخدام مراهم, استخدام ضغط الوريد,عدم الوقوف ثابتًا لفترة طويلة
AIDS,تجنب القطع المفتوحة,ارتداء ملابس الحماية الشخصية إذا كان ذلك ممكنًا,استشارة الطبيب,متابعة مع الطبيب
Paralysis (brain hemorrhage),التدليك,تناول طعام صحي, ممارسة الرياضة,استشارة الطبيب
Typhoid,تناول الطعام عالي السعرات الحرارية,العلاج بالمضادات الحيوية,استشارة الطبيب,الدواء
Hepatitis B,تجنب تناول الكحول,استشارة الطبيب,الدواء,متابعة مع الطبيب
Fungal infection,اغتسل مرتين, استخدم ديتول أو النيم في ماء الاستحمام, حافظ على جفاف المنطقة المصابة, استخدم الملابس النظيفة
Hepatitis C,تجنب تناول الكحول,استشارة الطبيب,الدواء,متابعة مع الطبيب
Migraine,التأمل, تقليل التوتر, استخدام نظارات بولارويد في الشمس, استشارة الطبيب
Bronchial Asthma,انتقل إلى ملابس فضفاضة, خذ نفسًا عميقًا, ابتعد عن المحفز, اطلب المساعدة
Alcoholic hepatitis,توقف عن تناول الكحول, استشارة الطبيب, الدواء, متابعة مع الطبيب
Jaundice,اشرب الكثير من الماء, استهلاك حلبة الحليب, تناول الفواكه والأطعمة الغنية بالألياف, الدواء
Hepatitis E,توقف عن تناول الكحول, الراحة, استشارة الطبيب, الدواء
Dengue,اشرب عصير أوراق البابايا, تجنب تناول الطعام الدهني والحار, ابتعد عن البعوض, حافظ على الترطيب
Hepatitis D,استشارة الطبيب, الدواء, تناول طعام صحي, متابعة مع الطبيب
Heart attack,اتصل بالإسعاف, امضغ أو ابلع الأسبرين,, ابقى هادئًا
Pneumonia,استشارة الطبيب, الدواء, الراحة, متابعة مع الطبيب
Arthritis,ممارسة الرياضة, استخدام العلاج بالحرارة والبرودة, جرب الإبر الوخز, التدليك
Gastroenteritis,توقف عن تناول الطعام الصلب لفترة, جرب شرب رشفات صغيرة من الماء, الراحة, عد تدريجيًا إلى تناول الطعام
Tuberculosis,اغطس الفم, استشارة الطبيب, الدواء, الراحة




